,*Hour (MST),,ADM,**ASPN2,CAMP,CASA,CCOL,CHAT,FTCF,GJPB,GREH,I25DEN,I25GLO,**SWAN,WBY,Date,NJH
1,1:00 AM,1hr,41,38,52,27,17,31,23,39,19,43,39,39,16,2018-01-04,
2,2:00 AM,1hr,35,113,36,35,14,39,22,27,17,32,41,32,19,2018-01-04,
3,3:00 AM,1hr,49,38,22,35,12,54,33,23,13,32,29,24,25,2018-01-04,
4,4:00 AM,1hr,37,10,13,29,8,21,33,24,24,22,24,17,22,2018-01-04,
5,5:00 AM,1hr,25,111,14,17,6,17,20,28,22,16,24,17,20,2018-01-04,
6,6:00 AM,1hr,49,37,12,16,9,16,17,29,18,22,33,18,15,2018-01-04,
7,7:00 AM,1hr,78,85,13,24,19,12,21,28,18,33,35,21,25,2018-01-04,
8,8:00 AM,1hr,99,117,29,39,47,23,29,34,17,30,69,24,41,2018-01-04,
9,9:00 AM,1hr,90,157,34,35,36,14,23,45,26,28,67,31,40,2018-01-04,
10,10:00 AM,1hr,73,93,25,28,30,12,20,30,34,34,77,28,43,2018-01-04,
11,11:00 AM,1hr,58,52,42,28,10,34,35,26,111,34,72,27,22,2018-01-04,
12,12:00 PM,1hr,85,20,28,31,15,27,20,13,57,29,43,17,27,2018-01-04,
13,1:00 PM,1hr,17,19,15,21,14,49,24,19,42,31,33,11,17,2018-01-04,
14,2:00 PM,1hr,30,29,32,18,12,16,18,29,50,16,36,11,23,2018-01-04,
15,3:00 PM,1hr,19,33,22,27,10,17,23,20,24,27,39,18,17,2018-01-04,
16,4:00 PM,1hr,29,113,27,31,17,17,31,30,24,45,30,20,14,2018-01-04,
17,5:00 PM,1hr,51,88,32,47,27,25,39,26,46,42,53,42,16,2018-01-04,
18,6:00 PM,1hr,47,55,34,51,54,30,61,35,58,26,102,32,26,2018-01-04,
19,7:00 PM,1hr,47,69,28,30,21,49,27,27,32,33,45,30,21,2018-01-04,
20,8:00 PM,1hr,48,74,48,54,42,44,41,30,52,53,67,81,17,2018-01-04,
21,9:00 PM,1hr,67,100,62,49,37,35,27,20,73,62,61,77,25,2018-01-04,
22,10:00 PM,1hr,97,79,70,31,26,27,29,24,60,47,40,68,24,2018-01-04,
23,11:00 PM,1hr,94,66,36,44,30,24,30,42,60,47,49,43,32,2018-01-04,
24,12:00 AM,1hr,51,50,26,41,21,,26,34,55,44,41,34,38,2018-01-04,
1,1:00 AM,1hr,49,83,26,41,17,,21,36,45,35,32,25,26,2018-01-05,
2,2:00 AM,1hr,44,83,24,30,13,,20,34,40,30,30,21,26,2018-01-05,
3,3:00 AM,1hr,37,27,28,27,12,,16,33,39,39,32,33,25,2018-01-05,
4,4:00 AM,1hr,49,12,32,25,9,,11,38,30,37,33,33,16,2018-01-05,
5,5:00 AM,1hr,62,10,39,30,8,,11,48,29,33,45,34,16,2018-01-05,
6,6:00 AM,1hr,56,8,49,26,10,,13,39,33,42,45,35,20,2018-01-05,
7,7:00 AM,1hr,89,16,44,24,22,39,18,38,29,34,49,44,25,2018-01-05,
8,8:00 AM,1hr,109,49,45,51,24,38,25,44,40,54,55,32,42,2018-01-05,
9,9:00 AM,1hr,133,74,41,70,28,28,25,46,47,58,77,35,47,2018-01-05,
10,10:00 AM,1hr,159,46,37,48,30,25,35,53,69,84,83,33,53,2018-01-05,
11,11:00 AM,1hr,186,30,47,63,39,16,38,42,146,88,115,47,47,2018-01-05,
12,12:00 PM,1hr,320,16,40,57,25,31,30,41,104,56,96,55,57,2018-01-05,
13,1:00 PM,1hr,254,18,65,55,35,37,34,35,135,50,170,59,63,2018-01-05,
14,2:00 PM,1hr,357,19,107,73,50,13,31,29,92,106,289,67,65,2018-01-05,
15,3:00 PM,1hr,315,9,88,170,67,10,32,28,70,96,193,122,78,2018-01-05,
16,4:00 PM,1hr,351,15,76,197,37,18,38,27,100,94,256,263,83,2018-01-05,
17,5:00 PM,1hr,392,33,123,137,48,15,46,32,123,72,227,200,72,2018-01-05,
18,6:00 PM,1hr,202,38,149,152,59,33,52,28,147,74,135,254,56,2018-01-05,
19,7:00 PM,1hr,131,81,197,116,51,25,48,21,104,111,117,198,50,2018-01-05,
20,8:00 PM,1hr,129,54,128,88,44,53,50,22,92,101,99,136,44,2018-01-05,
21,9:00 PM,1hr,88,85,111,78,35,32,44,27,84,85,92,94,47,2018-01-05,
22,10:00 PM,1hr,92,78,83,79,22,60,44,23,71,40,104,93,39,2018-01-05,
23,11:00 PM,1hr,98,81,22,43,30,35,45,61,65,23,64,31,41,2018-01-05,
24,12:00 AM,1hr,81,55,46,26,12,32,39,79,58,27,81,57,30,2018-01-05,
1,1:00 AM,1hr,80,28,91,30,30,56,40,39,51,32,81,70,31,2018-01-06,
2,2:00 AM,1hr,61,45,71,26,31,76,34,32,36,36,65,31,34,2018-01-06,
3,3:00 AM,1hr,57,35,18,22,8,83,24,32,37,21,35,15,29,2018-01-06,
4,4:00 AM,1hr,37,10,12,15,8,148,18,29,32,18,17,14,26,2018-01-06,
5,5:00 AM,1hr,34,6,21,14,5,71,14,33,33,21,29,12,21,2018-01-06,
6,6:00 AM,1hr,34,6,23,17,7,62,13,34,33,20,37,24,20,2018-01-06,
7,7:00 AM,1hr,30,6,29,14,10,25,13,32,33,19,31,42,20,2018-01-06,
8,8:00 AM,1hr,55,7,35,20,22,41,16,31,31,26,47,37,24,2018-01-06,
9,9:00 AM,1hr,63,9,52,25,56,39,21,35,35,24,69,30,25,2018-01-06,
10,10:00 AM,1hr,98,21,55,31,37,45,26,33,45,30,54,54,39,2018-01-06,
11,11:00 AM,1hr,79,12,56,35,45,34,20,53,61,34,60,45,31,2018-01-06,
12,12:00 PM,1hr,67,20,58,34,25,34,14,37,62,46,61,57,31,2018-01-06,
13,1:00 PM,1hr,55,6,56,42,30,33,18,31,73,40,73,50,25,2018-01-06,
14,2:00 PM,1hr,50,9,56,61,28,30,23,39,108,51,67,64,24,2018-01-06,
15,3:00 PM,1hr,45,8,78,58,39,25,31,30,93,65,76,54,22,2018-01-06,
16,4:00 PM,1hr,47,8,75,52,29,32,29,38,66,43,68,57,24,2018-01-06,
17,5:00 PM,1hr,59,5,85,49,39,37,35,36,76,40,63,65,14,2018-01-06,
18,6:00 PM,1hr,55,5,80,67,53,49,44,40,99,44,61,88,22,2018-01-06,
19,7:00 PM,1hr,55,7,73,64,42,39,41,82,78,61,59,76,24,2018-01-06,
20,8:00 PM,1hr,60,8,75,65,46,35,37,20,76,62,57,71,21,2018-01-06,
21,9:00 PM,1hr,58,9,67,67,37,24,40,17,71,52,62,70,22,2018-01-06,
22,10:00 PM,1hr,51,5,76,67,40,21,33,20,54,61,62,64,21,2018-01-06,
23,11:00 PM,1hr,49,3,53,59,39,18,24,18,40,49,62,53,20,2018-01-06,
24,12:00 AM,1hr,45,3,44,59,22,24,14,19,35,50,53,46,20,2018-01-06,
1,1:00 AM,1hr,43,1,44,55,4,23,10,16,27,53,49,45,17,2018-01-07,
2,2:00 AM,1hr,47,1,47,52,1,23,8,15,22,48,46,44,24,2018-01-07,
3,3:00 AM,1hr,51,1,51,43,7,22,3,15,9,54,48,45,29,2018-01-07,
4,4:00 AM,1hr,45,0,48,46,8,20,2,30,9,56,50,45,21,2018-01-07,
5,5:00 AM,1hr,48,1,40,41,8,17,1,30,2,43,43,43,26,2018-01-07,
6,6:00 AM,1hr,16,1,26,43,9,24,1,30,1,24,35,24,15,2018-01-07,
7,7:00 AM,1hr,4,1,6,5,16,26,2,11,1,10,5,4,-,2018-01-07,
8,8:00 AM,1hr,4,1,3,4,8,34,3,12,2,7,4,4,0,2018-01-07,
9,9:00 AM,1hr,4,2,6,7,4,25,6,14,3,8,7,5,10,2018-01-07,
10,10:00 AM,1hr,5,2,11,4,4,10,9,13,3,5,15,9,6,2018-01-07,
11,11:00 AM,1hr,5,1,15,6,7,14,12,10,6,6,25,8,2,2018-01-07,
12,12:00 PM,1hr,6,2,21,8,5,11,7,8,10,11,17,10,2,2018-01-07,
13,1:00 PM,1hr,8,1,15,9,15,11,8,8,11,11,14,10,3,2018-01-07,
14,2:00 PM,1hr,8,2,14,8,16,14,10,9,10,8,10,8,4,2018-01-07,
15,3:00 PM,1hr,6,2,14,8,29,10,11,10,10,7,9,7,4,2018-01-07,
16,4:00 PM,1hr,8,4,16,12,9,13,10,12,9,13,16,7,5,2018-01-07,
17,5:00 PM,1hr,6,7,26,13,20,51,10,12,11,13,25,16,5,2018-01-07,
18,6:00 PM,1hr,10,7,19,15,14,22,16,12,13,14,36,20,3,2018-01-07,
19,7:00 PM,1hr,25,2,31,29,15,20,11,12,18,28,32,28,12,2018-01-07,
20,8:00 PM,1hr,19,16,44,34,23,15,23,16,12,24,30,31,11,2018-01-07,
21,9:00 PM,1hr,26,12,23,26,22,13,32,23,8,25,43,43,10,2018-01-07,
22,10:00 PM,1hr,26,7,15,24,18,11,31,23,15,19,26,26,12,2018-01-07,
23,11:00 PM,1hr,23,14,16,23,16,10,29,11,19,15,25,19,15,2018-01-07,
24,12:00 AM,1hr,18,7,11,21,10,10,23,11,22,14,22,19,12,2018-01-07,
1,1:00 AM,1hr,22,6,22,19,9,11,14,10,14,14,21,21,10,2018-01-08,
2,2:00 AM,1hr,24,6,19,,9,9,11,10,13,15,17,19,14,2018-01-08,
3,3:00 AM,1hr,22,6,9,,12,12,9,9,11,12,12,19,12,2018-01-08,
4,4:00 AM,1hr,20,2,9,,7,13,8,11,12,18,16,16,12,2018-01-08,
5,5:00 AM,1hr,13,1,13,,5,11,9,9,10,12,13,16,7,2018-01-08,
6,6:00 AM,1hr,15,1,26,7,7,13,9,7,10,16,17,17,11,2018-01-08,
7,7:00 AM,1hr,25,3,35,8,6,13,11,8,10,24,20,21,20,2018-01-08,
8,8:00 AM,1hr,35,4,55,10,8,24,10,9,12,25,22,34,21,2018-01-08,
9,9:00 AM,1hr,92,4,67,18,15,35,15,8,19,34,46,48,24,2018-01-08,
10,10:00 AM,1hr,113,4,94,32,27,28,20,9,25,45,68,116,35,2018-01-08,
11,11:00 AM,1hr,89,5,83,34,27,25,24,7,36,64,100,118,37,2018-01-08,
12,12:00 PM,1hr,206,5,127,40,21,45,33,9,80,69,117,154,51,2018-01-08,
13,1:00 PM,1hr,235,,122,48,34,26,24,10,73,59,87,160,59,2018-01-08,
14,2:00 PM,1hr,316,,105,72,54,28,28,10,36,87,172,160,68,2018-01-08,
15,3:00 PM,1hr,230,,102,226,74,21,30,10,29,138,296,297,101,2018-01-08,
16,4:00 PM,1hr,263,,161,280,59,47,35,10,34,214,282,294,73,2018-01-08,
17,5:00 PM,1hr,189,,233,292,85,125,41,10,44,193,288,306,52,2018-01-08,
18,6:00 PM,1hr,275,,302,268,77,82,57,10,59,195,278,323,58,2018-01-08,
19,7:00 PM,1hr,183,,328,195,51,55,50,15,54,122,212,273,55,2018-01-08,
20,8:00 PM,1hr,135,,236,166,43,80,50,15,49,119,167,165,48,2018-01-08,
21,9:00 PM,1hr,143,,191,171,40,100,46,12,37,108,161,190,60,2018-01-08,
22,10:00 PM,1hr,156,,156,151,30,93,47,12,34,120,142,216,65,2018-01-08,
23,11:00 PM,1hr,147,,127,111,24,133,41,12,30,86,122,174,57,2018-01-08,
24,12:00 AM,1hr,105,,95,84,20,74,35,11,28,79,87,130,51,2018-01-08,
1,1:00 AM,1hr,82,,53,60,22,46,31,9,24,62,59,79,44,2018-01-09,
2,2:00 AM,1hr,69,,37,38,19,41,33,9,22,52,40,49,35,2018-01-09,
3,3:00 AM,1hr,67,,40,29,13,19,31,12,22,41,32,45,38,2018-01-09,
4,4:00 AM,1hr,58,,41,26,9,17,19,13,20,35,30,57,27,2018-01-09,
5,5:00 AM,1hr,46,,28,16,7,108,21,11,20,22,31,49,22,2018-01-09,
6,6:00 AM,1hr,36,,46,12,6,97,13,11,18,27,44,36,23,2018-01-09,
7,7:00 AM,1hr,54,,43,14,11,41,13,14,19,32,124,28,31,2018-01-09,
8,8:00 AM,1hr,89,,40,14,24,27,16,16,22,42,129,49,34,2018-01-09,
9,9:00 AM,1hr,87,13,78,40,50,34,28,16,27,54,133,58,51,2018-01-09,
10,10:00 AM,1hr,73,8,68,46,36,37,22,17,35,96,94,59,54,2018-01-09,
11,11:00 AM,1hr,71,5,44,35,22,13,26,22,52,87,96,55,45,2018-01-09,
12,12:00 PM,1hr,67,6,44,45,28,14,27,15,86,40,81,22,29,2018-01-09,
13,1:00 PM,1hr,28,5,26,32,18,12,31,17,62,37,46,23,30,2018-01-09,
14,2:00 PM,1hr,22,13,21,16,11,9,36,15,58,35,33,11,16,2018-01-09,
15,3:00 PM,1hr,22,4,11,19,33,12,32,17,36,59,27,17,7,2018-01-09,
16,4:00 PM,1hr,29,4,26,28,30,16,12,17,-,46,38,37,7,2018-01-09,
17,5:00 PM,1hr,86,7,63,59,28,31,16,14,-,57,119,52,24,2018-01-09,
18,6:00 PM,1hr,50,9,69,102,95,13,15,17,-,42,129,72,29,2018-01-09,
19,7:00 PM,1hr,40,8,37,60,22,42,12,20,-,53,69,59,22,2018-01-09,
20,8:00 PM,1hr,39,8,52,57,20,25,6,19,-,48,74,122,21,2018-01-09,
21,9:00 PM,1hr,52,11,69,45,10,65,2,17,-,52,58,101,27,2018-01-09,
22,10:00 PM,1hr,68,8,56,39,13,22,3,19,-,46,59,94,26,2018-01-09,
23,11:00 PM,1hr,41,6,35,24,12,13,14,22,-,33,30,63,19,2018-01-09,
24,12:00 AM,1hr,33,3,34,20,8,25,11,17,-,32,31,35,14,2018-01-09,
1,1:00 AM,1hr,24,2,25,15,10,63,7,14,-,25,27,34,15,2018-01-10,
2,2:00 AM,1hr,30,3,20,13,8,37,8,13,-,22,22,34,13,2018-01-10,
3,3:00 AM,1hr,25,3,15,12,6,18,6,15,-,21,17,34,11,2018-01-10,
4,4:00 AM,1hr,17,2,13,10,7,32,6,15,-,18,17,24,8,2018-01-10,
5,5:00 AM,1hr,18,3,32,8,13,72,9,11,-,10,19,23,8,2018-01-10,
6,6:00 AM,1hr,27,7,24,8,12,44,13,10,-,19,25,17,12,2018-01-10,
7,7:00 AM,1hr,46,6,25,10,16,39,9,9,-,21,27,34,18,2018-01-10,
8,8:00 AM,1hr,72,3,35,23,29,31,19,13,-,44,47,39,42,2018-01-10,
9,9:00 AM,1hr,75,5,19,26,56,112,22,15,-,79,53,43,46,2018-01-10,
10,10:00 AM,1hr,143,9,32,64,73,44,29,15,-,83,82,36,51,2018-01-10,
11,11:00 AM,1hr,184,3,50,76,71,52,20,11,-,90,111,178,62,2018-01-10,
12,12:00 PM,1hr,164,2,102,112,74,38,15,7,-,127,192,231,64,2018-01-10,
13,1:00 PM,1hr,99,1,144,132,49,28,28,7,-,106,127,133,37,2018-01-10,
14,2:00 PM,1hr,70,2,69,82,33,16,21,5,-,98,122,103,27,2018-01-10,
15,3:00 PM,1hr,86,1,71,65,30,28,12,5,-,89,67,76,20,2018-01-10,
16,4:00 PM,1hr,85,1,56,67,13,40,3,7,-,60,76,76,32,2018-01-10,
17,5:00 PM,1hr,8,1,17,11,11,38,8,7,-,17,10,17,21,2018-01-10,
18,6:00 PM,1hr,8,1,9,12,3,10,6,9,-,5,8,9,12,2018-01-10,
19,7:00 PM,1hr,61,3,43,40,24,38,11,11,,49,56,67,26,2018-01-10,
20,8:00 PM,1hr,7,2,5,6,2,9,5,6,-,4,7,6,-,2018-01-10,
21,9:00 PM,1hr,8,4,9,7,3,13,5,7,-,5,5,5,0,2018-01-10,
22,10:00 PM,1hr,6,2,19,11,2,14,4,6,-,9,7,7,1,2018-01-10,
23,11:00 PM,1hr,8,2,19,14,3,21,3,5,-,11,7,10,3,2018-01-10,
24,12:00 AM,1hr,12,1,14,12,3,23,5,2,-,12,8,8,4,2018-01-10,
1,1:00 AM,1hr,53,2,35,35,23,34,11,8,,42,47,51,22,2018-01-11,
2,2:00 AM,1hr,5,1,6,6,3,36,2,2,-,8,5,8,4,2018-01-11,
3,3:00 AM,1hr,5,1,7,6,2,46,4,2,-,6,5,6,4,2018-01-11,
4,4:00 AM,1hr,4,1,6,6,2,42,7,4,-,5,7,6,4,2018-01-11,
5,5:00 AM,1hr,5,1,6,5,2,38,10,4,-,7,9,6,6,2018-01-11,
6,6:00 AM,1hr,10,2,15,6,3,17,11,5,,7,13,8,11,2018-01-11,
7,7:00 AM,1hr,14,2,36,7,5,15,11,7,,11,24,11,16,2018-01-11,
8,8:00 AM,1hr,22,3,29,13,8,26,10,8,,19,29,15,24,2018-01-11,
9,9:00 AM,1hr,19,5,41,34,12,19,11,15,,35,47,20,22,2018-01-11,
10,10:00 AM,1hr,24,4,34,36,9,33,16,8,,31,43,17,24,2018-01-11,
11,11:00 AM,1hr,8,4,14,13,8,21,15,2,,21,11,6,6,2018-01-11,
12,12:00 PM,1hr,7,1,13,15,6,14,18,2,22,17,16,0,5,2018-01-11,
13,1:00 PM,1hr,15,1,20,19,6,14,16,3,19,19,42,0,3,2018-01-11,
14,2:00 PM,1hr,67,1,43,34,7,17,17,3,14,14,72,0,7,2018-01-11,
15,3:00 PM,1hr,88,2,13,9,5,13,10,4,16,9,27,0,16,2018-01-11,
16,4:00 PM,1hr,32,1,11,5,5,12,3,3,15,10,21,0,5,2018-01-11,
17,5:00 PM,1hr,10,1,11,6,5,13,3,8,36,9,17,0,3,2018-01-11,
18,6:00 PM,1hr,7,1,12,8,7,22,8,13,64,14,18,0,4,2018-01-11,
19,7:00 PM,1hr,12,1,20,13,9,47,25,13,42,24,24,0,7,2018-01-11,
20,8:00 PM,1hr,16,1,16,18,18,61,24,5,41,24,24,0,11,2018-01-11,
21,9:00 PM,1hr,17,,12,17,19,82,31,3,42,15,19,0,14,2018-01-11,
22,10:00 PM,1hr,14,,12,11,17,58,33,4,26,11,19,0,16,2018-01-11,
23,11:00 PM,1hr,14,,13,11,15,32,26,5,27,12,17,0,12,2018-01-11,
24,12:00 AM,1hr,12,,12,15,13,33,17,5,21,14,19,0,14,2018-01-11,
1,1:00 AM,1hr,8,,11,12,10,55,15,7,21,11,20,0,8,2018-01-12,
2,2:00 AM,1hr,9,,6,7,8,119,14,5,13,7,7,0,12,2018-01-12,
3,3:00 AM,1hr,7,,7,7,8,43,12,5,15,8,11,0,7,2018-01-12,
4,4:00 AM,1hr,8,,6,12,8,39,10,8,15,8,9,0,7,2018-01-12,
5,5:00 AM,1hr,8,,11,12,8,34,10,8,11,10,10,0,7,2018-01-12,
6,6:00 AM,1hr,13,,16,10,7,54,9,9,11,10,15,0,11,2018-01-12,
7,7:00 AM,1hr,34,,21,9,6,18,10,10,11,16,22,0,13,2018-01-12,
8,8:00 AM,1hr,48,,41,13,11,21,14,12,14,31,37,0,28,2018-01-12,
9,9:00 AM,1hr,98,,70,14,10,24,13,22,26,57,47,0,22,2018-01-12,
10,10:00 AM,1hr,76,,53,46,5,21,15,17,38,53,82,0,9,2018-01-12,
11,11:00 AM,1hr,60,,34,17,2,13,23,8,52,51,46,0,9,2018-01-12,
12,12:00 PM,1hr,30,,20,16,2,11,20,6,66,24,48,0,24,2018-01-12,
13,1:00 PM,1hr,22,,17,34,3,10,15,8,43,34,39,0,16,2018-01-12,
14,2:00 PM,1hr,9,,10,13,2,9,5,6,10,25,17,0,10,2018-01-12,
15,3:00 PM,1hr,20,,20,13,2,8,12,8,9,19,16,0,12,2018-01-12,
16,4:00 PM,1hr,39,,22,22,2,13,3,12,10,27,23,0,10,2018-01-12,
17,5:00 PM,1hr,31,,28,28,3,22,7,8,5,26,33,0,21,2018-01-12,
18,6:00 PM,1hr,6,,12,15,5,28,6,12,9,11,8,0,13,2018-01-12,
19,7:00 PM,1hr,5,,7,5,10,80,7,12,9,5,6,0,10,2018-01-12,
20,8:00 PM,1hr,8,,7,7,10,68,8,13,10,6,8,0,9,2018-01-12,
21,9:00 PM,1hr,10,,11,11,11,47,10,26,10,10,10,0,5,2018-01-12,
22,10:00 PM,1hr,11,,12,12,16,73,10,22,10,11,11,0,11,2018-01-12,
23,11:00 PM,1hr,11,,10,12,13,188,12,17,12,11,11,0,4,2018-01-12,
24,12:00 AM,1hr,11,,11,11,8,140,12,14,12,12,10,0,6,2018-01-12,
1,1:00 AM,1hr,24,,19,14,6,46,10,11,17,20,22,,11,2018-01-13,
2,2:00 AM,1hr,12,,9,11,9,144,12,9,13,9,10,0,7,2018-01-13,
3,3:00 AM,1hr,11,,14,11,8,54,14,5,13,9,12,0,6,2018-01-13,
4,4:00 AM,1hr,12,,17,18,14,28,14,4,14,14,18,0,9,2018-01-13,
5,5:00 AM,1hr,56,,21,19,15,31,15,7,16,30,21,0,11,2018-01-13,
6,6:00 AM,1hr,29,,21,18,15,59,14,5,16,26,22,0,8,2018-01-13,
7,7:00 AM,1hr,30,,17,17,17,21,13,4,16,21,16,0,9,2018-01-13,
8,8:00 AM,1hr,28,,11,14,16,12,15,4,17,10,15,0,10,2018-01-13,
